Date,Low,Open,Volume,High,Close,Adjusted Close
30-03-2007,2.2799999713897705,2.2799999713897705,0,2.2799999713897705,2.2799999713897705,2.2799999713897705
02-04-2007,3.0,3.0,1000,3.0,3.0,3.0
03-04-2007,2.9000000953674316,2.9000000953674316,400,2.9000000953674316,2.9000000953674316,2.9000000953674316
04-04-2007,2.9000000953674316,2.9000000953674316,0,2.9000000953674316,2.9000000953674316,2.9000000953674316
05-04-2007,2.9000000953674316,2.9000000953674316,0,2.9000000953674316,2.9000000953674316,2.9000000953674316
09-04-2007,2.9000000953674316,2.9000000953674316,0,2.9000000953674316,2.9000000953674316,2.9000000953674316
10-04-2007,2.9000000953674316,2.9000000953674316,0,2.9000000953674316,2.9000000953674316,2.9000000953674316
11-04-2007,2.9000000953674316,2.9000000953674316,0,2.9000000953674316,2.9000000953674316,2.9000000953674316
12-04-2007,2.9000000953674316,2.9000000953674316,0,2.9000000953674316,2.9000000953674316,2.9000000953674316
13-04-2007,2.9000000953674316,2.9000000953674316,0,2.9000000953674316,2.9000000953674316,2.9000000953674316
16-04-2007,2.9000000953674316,2.9000000953674316,0,2.9000000953674316,2.9000000953674316,2.9000000953674316
17-04-2007,2.9000000953674316,2.9000000953674316,0,2.9000000953674316,2.9000000953674316,2.9000000953674316
18-04-2007,3.0999999046325684,3.0999999046325684,800,3.0999999046325684,3.0999999046325684,3.0999999046325684
19-04-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
20-04-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
23-04-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
24-04-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
25-04-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
26-04-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
27-04-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
30-04-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
01-05-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
02-05-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
03-05-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
04-05-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
07-05-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
08-05-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
09-05-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
10-05-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
11-05-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
14-05-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
15-05-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
16-05-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
17-05-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
18-05-2007,3.0999999046325684,3.0999999046325684,0,3.0999999046325684,3.0999999046325684,3.0999999046325684
